#Aplicación presupuestaria,Funcional,Economico,Desc. Funcional,Desc. Economico,Proyecto,Desc. Proyecto,Suma Cons. inicial,Suma Modificaciones,Suma Cons. definitiva,Suma O
2009,0112,310,Entitats Financeres,Interessos,,,590486,-80000,510486,402640.04
2009,0112,311,Entitats Financeres,Desp. formal. mod i cance,,,300,205.33,505.33,3467.3
2009,0112,342,Entitats Financeres,Interessos de demora,,,0,0,0,41.91
2009,0112,913,Entitats Financeres,Amortitzacio de Prestecs,,,464185.19,,,283096.68
2009,0115,310,Entitat Financeres,Interessos,,,0,36664.65,36664.65,0
2009,1110,100,Organs de Govern,Retrib. dedicacio exclusi,,,220283.28,-24723.55,195559.73,195559.73
2009,1110,222,Organs de Govern,Comunicacions,,,6000,-1000,5000,0
2009,1110,226,Organs de Govern,Despeses diverses,,,6000,0,6000,15354.51
2009,1110,230,Organs de Govern,Dietes,,,500,0,500,344.4
2009,1110,231,Organs de Govern,Despeses locomocio,,,500,0,500,139.46
2009,1110,233,Organs de Govern,Assistencies,,,116000,0,116000,112115
2009,1111,489,Grups Politics,Altres transferencies,,,25200,-2650,22550,22550
2009,1112,226,Organs de Govern,Despeses diverses,,,6000,0,6000,5271.82
2009,1113,226,Gabinet de comunicació,Despeses diverses,,,40000,3557.74,43557.74,38605.74
2009,1113,227,Gabinet de comunicació,Treballs altres empreses,,,0,3219,3219,3219
2009,1113,489,Gabinet de comunicació,Altres transferencies,,,6000,-6000,0,0
2009,1114,226,Òrgans de Govern,Despeses diverses,,,5000,1913.38,6913.38,6809.58
2009,1210,120,Serveis Generals,Retribucions basiques,,,35328.72,0,35328.72,34608.25
2009,1210,121,Serveis Generals,Retribuc. complementaries,,,62688.62,0,62688.62,62688.64
2009,1210,222,Serveis Generals,Comunicacions,,,14000,5423.89,19423.89,27579.43
2009,1210,227,Serveis Generals,Treballs altres empreses,,,3500,0,3500,0
2009,1210,230,Serveis Generals,Dietes,,,3000,0,3000,1411.44
2009,1210,231,Serveis Generals,Despeses locomocio,,,4000,1588.34,5588.34,2459.66
2009,1210,622,Serveis Generals,Edificis i altres constr.,911,ADQUISICIO CINEMA KING,1,0,1,0
2009,1210,625,Serveis Generals,Adquisicio mobiliari,919,MOBILIARI,15000,3788.32,18788.32,17469.43
2009,1211,120,Secretaria,Retribucions basiques,,,152401.98,-10290.34,142111.64,135006.82
