#Aplicación presupuestaria,Economico,Desc. capítulo,Desc. Economico,Suma Prev. inicial,Suma Modificaciones,Suma Prev. definitiva,Suma DR netos
2010,11200,,I.B.I. Rústica,40445,0,40445,39498.13
2010,11300,,I.B.I. Urbana,3880000,0,3880000,3971145.28
2010,11400,,I.B.I. carac. Especials,30000,0,30000,0
2010,11500,,Imp. Vehic. trac. mecànic,1200000,0,1200000,1071690.32
2010,11600,,I.I.V.T.N. Urbana,275000,0,275000,122710.18
2010,13000,,I.A.E. Activi. Empresaria,803000,0,803000,700824.09
2010,29000,,I.C.I.O,550000,0,550000,372394
2010,30000,,Taxa Servei Submin. Aigua,0,0,0,0
2010,30100,,Taxa Servei Clavegueram,0,0,0,0
2010,30200,,Taxa Recollid. residus ur,125000,0,125000,99475.03
2010,30900,,Taxa Servei Cementeri,5000,0,5000,4721.08
2010,31300,,Taxa utilitz. poliesport.,33000,0,33000,14308.99
2010,31301,,Taxa utili. Piscina Estiu,75000,0,75000,57247.17
2010,31302,,Taxa utili. Piscina Cober,260000,0,260000,211706.91
2010,31901,,Taxa utilit. locals Públi,6000,0,6000,280
2010,32100,,Taxa Llicències urbanísti,38000,0,38000,20311.52
2010,32200,,Llicènc. prim. ocup habit,15000,0,15000,18756.75
2010,32300,,Taxa Altres Serv. Urbanis,6000,0,6000,0
2010,32500,,Taxa exped. docum. admin.,6000,0,6000,663.36
2010,32600,,Taxa serv.retir. vehicles,105000,0,105000,69463.19
2010,32900,,Taxa Llicèn. obert. estab,70000,0,70000,61730.55
2010,33000,,Taxa EStac. Horari Limita,35000,0,35000,0
2010,33100,,Taxa Entr. Vehi Voreres,115000,0,115000,96329.91
2010,33200,,Taxa Emp. Expl. Suministr,220000,0,220000,251860.78
2010,33300,,Taxa Emp. Expl.Serv.Telec,65000,0,65000,100830.32
2010,33400,,Taxa Ocup. Vies Obres,14000,0,14000,983.71
2010,33500,,Taxa Ocup.Vies Taules i C,35000,0,35000,22930.48
2010,33800,,Taxa Comp.Telef.Expaña SA,70000,0,70000,44512.9
2010,33900,,Taxa Ocu.Vies Mercat Fest,70000,0,70000,52907.16
2010,33901,,Taxa Ocup Vies Fira S.Seb,60000,0,60000,23245
2010,34200,,P.P.A.E. cursos EPA,30000,0,30000,24021
2010,34201,,P.P.A.E.C. Escoles N/P/E,16000,0,16000,16862
2010,34202,,P.P.A.E.C.Campament Estiu,7000,0,7000,4343.2
2010,34203,,P.P.A.E.C.Escola Matinera,15000,0,15000,5414
2010,34400,,P.P.A.E.C. Teatre,6000,0,6000,2948
2010,35000,,Contribucions Especials,1,0,1,0
2010,38900,,Reint. PPTO. tancats  O.C,1,0,1,7315.84
2010,38901,,Reinteg. Estat i S.S.,1,20890.33,20891.33,68832.84
2010,38903,,Reinteg.Pom.Vivendes VPO,1,0,1,0
2010,39100,,Multes Infrac. Urbanistiq,2000,0,2000,0
2010,39110,,Multes Infrac. Tributaria,2000,0,2000,0
2010,39120,,Multes Ordenança Circulac,82000,0,82000,445770.61
