#Aplicación presupuestaria,Económico,Desc. capítulo,Desc. económico,Previsión inicial,Modificaciones,Previsión definitiva,DR neto
2016.0.0.0.0.11200,11200,IMPUESTOS DIRECTOS,I.B.I. Rústica,41129.0,,41129.0,41105.71
2016.0.0.0.0.11300,11300,IMPUESTOS DIRECTOS,I.B.I. Urbana,4688000.0,,4688000.0,4743734.47
2016.0.0.0.0.11400,11400,IMPUESTOS DIRECTOS,I.B.I. carac. Especials,29209.0,,29209.0,29209.14
2016.0.0.0.0.11500,11500,IMPUESTOS DIRECTOS,Imp. Vehic. trac. mecànic,960000.0,,960000.0,957404.73
2016.0.0.0.0.11600,11600,IMPUESTOS DIRECTOS,I.I.V.T.N. Urbana,200000.0,,200000.0,279072.97
2016.0.0.0.0.13000,13000,IMPUESTOS DIRECTOS,I.A.E. Activi. Empresaria,885000.0,,885000.0,797888.82
2016.0.0.0.0.29000,29000,IMPUESTOS INDIRECTOS,I.C.I.O,125000.0,,125000.0,105991.96
2016.0.0.0.0.30200,30200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Recollid. residus ur,80690.0,,80690.0,79491.84
2016.0.0.0.0.30900,30900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Servei Cementeri,10175.0,,10175.0,3136.68
2016.0.0.0.0.31300,31300,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilitz. poliesport.,10174.67,,10174.67,4545.5
2016.0.0.0.0.31301,31301,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utili. Piscina Estiu,36970.0,,36970.0,38537.21
2016.0.0.0.0.31303,31303,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Cursos natació piscina d'estiu,,,,10837.5
2016.0.0.0.0.31900,31900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Captura Gossos,100.0,,100.0,195.0
2016.0.0.0.0.31901,31901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilit. locals Públi,759.0,,759.0,680.0
2016.0.0.0.0.32100,32100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Llicències urbanísti,7307.0,,7307.0,7892.13
2016.0.0.0.0.32200,32200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Llicènc. prim. ocup habit,5518.0,,5518.0,4207.45
2016.0.0.0.0.32500,32500,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa exped. docum. admin.,3270.0,,3270.0,2186.0
2016.0.0.0.0.32600,32600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa serv.retir. vehicles,24544.0,,24544.0,22903.03
2016.0.0.0.0.32900,32900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Llicèn. obert. estab,50385.33,,50385.33,38496.26
2016.0.0.0.0.33100,33100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Entr. Vehi Voreres,102356.0,,102356.0,103016.34
2016.0.0.0.0.33200,33200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Emp. Expl. Suministr,198351.0,,198351.0,202508.52
2016.0.0.0.0.33400,33400,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup. Vies Obres,4331.0,,4331.0,7940.31
2016.0.0.0.0.33500,33500,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup.Vies Taules i C,35434.0,,35434.0,39105.41
2016.0.0.0.0.33600,33600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Tasa por ocupación de la vía pública con suspensión temporal del tráfico rodado,1731.0,,1731.0,
2016.0.0.0.0.33800,33800,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Comp.Telef.Expaña SA,30774.0,,30774.0,18969.38
2016.0.0.0.0.33900,33900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocu.Vies Mercat Fest,47369.0,,47369.0,47080.25
2016.0.0.0.0.33902,33902,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa caixers automàtics,,,,1730.6
2016.0.0.0.0.34200,34200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E. cursos EPA,13160.0,,13160.0,11710.0
2016.0.0.0.0.34201,34201,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C. Escoles N/P/E,,,,3348.0
2016.0.0.0.0.34202,34202,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C.Campament Estiu,4833.0,3348.0,8181.0,11098.0
2016.0.0.0.0.34400,34400,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C. Teatre,4711.0,,4711.0,3824.0
2016.0.0.0.0.34401,34401,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",p.p. escola teatre,2592.0,,2592.0,3075.0
2016.0.0.0.0.38901,38901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Reinteg. Estat i S.S.,,2640.65,2640.65,3415.37
2016.0.0.0.0.39100,39100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Multas por infracciones urbanísticas,,,,9133.32
2016.0.0.0.0.39120,39120,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Multas por infracciones de la Ordenanza de circulación,50235.0,,50235.0,74350.72
2016.0.0.0.0.39190,39190,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Otras multas y sanciones,,7177.96,7177.96,12779.22
2016.0.0.0.0.39200,39200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recargos por declaración extemporánea sin requerimiento previo,2714.0,,2714.0,173.06
2016.0.0.0.0.39210,39210,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recargo ejecutivo,645.0,,645.0,9712.6
2016.0.0.0.0.39211,39211,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recargo de apremio,120817.0,,120817.0,101695.63
2016.0.0.0.0.39301,39301,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Interessos de Demora,69973.0,,69973.0,71865.96
2016.0.0.0.0.39600,39600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Canon de urbanización,64609.0,,64609.0,4537.97
2016.0.0.0.0.39900,39900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ing. Paper Cartro,37393.8,,37393.8,36690.5
2016.0.0.0.0.39901,39901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ing. Edictes Contr,274.0,,274.0,16673.33
2016.0.0.0.0.39903,39903,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altr.Ing.Con.Piscin.Estiu,55000.0,,55000.0,
2016.0.0.0.0.39905,39905,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altr.Ingr.Exec.Subsidiari,1815.0,,1815.0,
2016.0.0.0.0.39908,39908,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Subhasta Vedat,38801.06,72202.26,111003.32,111003.32
2016.0.0.0.0.39909,39909,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ingressos,15778.0,17375.21,33153.21,89670.15
2016.0.0.0.0.42000,42000,TRANSFERENCIA CORRIENTES,Participación en los Tributos del Estado,3479255.37,,3479255.37,3512466.53
2016.0.0.0.0.45080,45080,TRANSFERENCIA CORRIENTES,Otras subvenciones corrientes de la Administración General de la Comunidad Autónoma,246254.71,195071.73,441326.44,438911.14
2016.0.0.0.0.46100,46100,TRANSFERENCIA CORRIENTES,Subvencions Diputació,24538.72,69076.06,93614.78,81522.52
2016.0.0.0.0.48000,48000,TRANSFERENCIA CORRIENTES,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO,,20000.0,20000.0,20000.0
2016.0.0.0.0.49700,49700,TRANSFERENCIA CORRIENTES,Otras transferencias de la Unión Europea,,13224.0,13224.0,13384.0
2016.0.0.0.0.52000,52000,INGRESOS PATRIMONIALES,Interessos Dipòsits E.B.,2750.0,,2750.0,1877.32
2016.0.0.0.0.55003,55003,INGRESOS PATRIMONIALES,C.A. Bar Pisicna Estiu,7438.0,,7438.0,7438.02
2016.0.0.0.0.55004,55004,INGRESOS PATRIMONIALES,C.A. Parades Mercat,24838.0,,24838.0,18690.66
2016.0.0.0.0.55006,55006,INGRESOS PATRIMONIALES,Escoleta infantil,14249.0,,14249.0,20107.94
2016.0.0.0.0.55009,55009,INGRESOS PATRIMONIALES,Altres Concessions Admini,6.0,,6.0,33835.7
2016.0.0.0.0.55100,55100,INGRESOS PATRIMONIALES,Cessió de Ninxols,35000.0,,35000.0,26726.82
2016.0.0.0.0.61904,61904,ENAJENACIÓN DE INVERSIONES REALES,Elements de transport,,,,126.0
