#Aplicación presupuestaria,b,c,Económico,Desc. capítulo,Desc. económico,Previsión inicial,Modificaciones,Previsión definitiva,DR neto
2018.0.0.0.0.11200,,,11200,IMPUESTOS DIRECTOS,I.B.I. Rústica,41798,0,41798,41807.01
2018.0.0.0.0.11300,,,11300,IMPUESTOS DIRECTOS,I.B.I. Urbana,4770731.81,0,4770731.81,4703542.33
2018.0.0.0.0.11400,,,11400,IMPUESTOS DIRECTOS,I.B.I. carac. Especials,29209,0,29209,29209.14
2018.0.0.0.0.11500,,,11500,IMPUESTOS DIRECTOS,Imp. Vehic. trac. mecànic,986179.77,0,986179.77,986006.27
2018.0.0.0.0.11600,,,11600,IMPUESTOS DIRECTOS,I.I.V.T.N. Urbana,250000,0,250000,82491.86
2018.0.0.0.0.13000,,,13000,IMPUESTOS DIRECTOS,I.A.E. Activi. Empresaria,956703,0,956703,79552.26
2018.0.0.0.0.29000,,,29000,IMPUESTOS INDIRECTOS,I.C.I.O,100000,0,100000,94503.26
2018.0.0.0.0.30200,,,30200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa recollida residus urbans,86512.96,0,86512.96,111666.61
2018.0.0.0.0.30900,,,30900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Servei Cementeri,4024.44,0,4024.44,2837.53
2018.0.0.0.0.31300,,,31300,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilitz. poliesport.,13500,0,13500,180
2018.0.0.0.0.31301,,,31301,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utili. Piscina Estiu,35000,0,35000,9785
2018.0.0.0.0.31303,,,31303,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilització instal.lacions esportives-cursos natació,10490,0,10490,7139
2018.0.0.0.0.31900,,,31900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Captura Gossos,1265,0,1265,81
2018.0.0.0.0.31901,,,31901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa utilit. locals Públi,637.95,0,637.95,295.3
2018.0.0.0.0.32100,,,32100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Llicències urbanísti,14464.66,0,14464.66,8307.36
2018.0.0.0.0.32200,,,32200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Llicènc. prim. ocup habit,4040.18,0,4040.18,2818.9
2018.0.0.0.0.32500,,,32500,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa exped. docum. admin.,2982.69,0,2982.69,1591
2018.0.0.0.0.32600,,,32600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa serv.retir. vehicles,24561.9,0,24561.9,19343.93
2018.0.0.0.0.32900,,,32900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Llicèn. obert. estab,48381.35,0,48381.35,27870.15
2018.0.0.0.0.33100,,,33100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Entr. Vehi Voreres,113992.02,0,113992.02,118443.61
2018.0.0.0.0.33200,,,33200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Emp. Expl. Suministr,198351,0,198351,163899.65
2018.0.0.0.0.33400,,,33400,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup. Vies Obres,12552.56,0,12552.56,8508.19
2018.0.0.0.0.33500,,,33500,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup.Vies Taules i C,38233.66,0,38233.66,24040.72
2018.0.0.0.0.33600,,,33600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa ocupació vies públiques-caixers automàtics,2348.19,0,2348.19,0
2018.0.0.0.0.33800,,,33800,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Comp.Telef.Expaña SA,20229.94,0,20229.94,11537.87
2018.0.0.0.0.33900,,,33900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocu.Vies Mercat Fest,47713.97,0,47713.97,44069.39
2018.0.0.0.0.33901,,,33901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup Vies Fira S.Seb,0,0,0,19762.55
2018.0.0.0.0.34200,,,34200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E. cursos EPA,13160,0,13160,370
2018.0.0.0.0.34201,,,34201,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C. Escoles N/P/E,8846,0,8846,17543
2018.0.0.0.0.34202,,,34202,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C.Campament Estiu,17005,0,17005,12852
2018.0.0.0.0.34400,,,34400,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C. Entrades Teatre,17560.35,0,17560.35,2196
2018.0.0.0.0.34401,,,34401,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",p.p. escola teatre,4275.6,0,4275.6,3380
2018.0.0.0.0.39100,,,39100,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Multes per infraccions urbanístiques,19985.44,0,19985.44,22632.02
2018.0.0.0.0.39110,,,39110,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Multes per infraccions tributaries i anàlogues,1,0,1,0
2018.0.0.0.0.39120,,,39120,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Multas por infracciones de la Ordenanza de circulación,83270.94,0,83270.94,80475.14
2018.0.0.0.0.39190,,,39190,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Otras multas y sanciones,670,0,670,2140
2018.0.0.0.0.39200,,,39200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recargos por declaración extemporánea sin requerimiento previo,17.63,0,17.63,-1281.28
2018.0.0.0.0.39210,,,39210,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recargo ejecutivo,8128.04,0,8128.04,1583.54
2018.0.0.0.0.39211,,,39211,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recargo de apremio,138053.63,0,138053.63,47911.33
2018.0.0.0.0.39301,,,39301,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Interessos de Demora,68206.27,0,68206.27,19456.54
2018.0.0.0.0.39600,,,39600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Canon de urbanización,4307,0,4307,4307.27
2018.0.0.0.0.39900,,,39900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ing. Paper Cartro,34052,531.41,34583.41,15528.87
2018.0.0.0.0.39901,,,39901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ing. Edictes Contr,10000,0,10000,2758.65
2018.0.0.0.0.39905,,,39905,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altr.Ingr.Exec.Subsidiari,1,0,1,54542.63
2018.0.0.0.0.39908,,,39908,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Subhasta Vedat,29760.58,0,29760.58,0
2018.0.0.0.0.39909,,,39909,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ingressos,15778,4689.53,20467.53,8706.59
2018.0.0.0.0.42000,,,42000,TRANSFERENCIA CORRIENTES,Participación en los Tributos del Estado,3614789,0,3614789,3560763.04
2018.0.0.0.0.45001,,,45001,TRANSFERENCIA CORRIENTES,Otras transferencias incondicionadas,179744,0,179744,0
2018.0.0.0.0.45080,,,45080,TRANSFERENCIA CORRIENTES,Otras subvenciones corrientes de la Administración General de la Comunidad Autónoma,491568.65,1500990.14,1992558.79,1507253.45
2018.0.0.0.0.46100,,,46100,TRANSFERENCIA CORRIENTES,Subvencions Diputació,8159.27,83190.9,91350.17,85710
2018.0.0.0.0.46101,,,46101,TRANSFERENCIA CORRIENTES,Altres transferències incondicionades Diputació,179744,0,179744,180252
2018.0.0.0.0.46600,,,46600,TRANSFERENCIA CORRIENTES,Subvencions F.V.M.P.,0,0,0,115.71
2018.0.0.0.0.47000,,,47000,TRANSFERENCIA CORRIENTES,De Empreses privades,0,1215,1215,1215
2018.0.0.0.0.49700,,,49700,TRANSFERENCIA CORRIENTES,Otras transferencias de la Unión Europea,0,29326,29326,29326
2018.0.0.0.0.52000,,,52000,INGRESOS PATRIMONIALES,Interessos Dipòsits E.B.,480.41,0,480.41,108.64
2018.0.0.0.0.55001,,,55001,INGRESOS PATRIMONIALES,C.A. Quiosc Parc Estació,2991.19,0,2991.19,0
2018.0.0.0.0.55002,,,55002,INGRESOS PATRIMONIALES,C.A. Bar Llar Jubilats,3600,0,3600,0
2018.0.0.0.0.55003,,,55003,INGRESOS PATRIMONIALES,C.A. Bar Pisicna Estiu,3810.4,0,3810.4,0
2018.0.0.0.0.55004,,,55004,INGRESOS PATRIMONIALES,C.A. Parades Mercat,14743.6,0,14743.6,17065.44
2018.0.0.0.0.55006,,,55006,INGRESOS PATRIMONIALES,Escoleta infantil,20530.67,0,20530.67,0
2018.0.0.0.0.55007,,,55007,INGRESOS PATRIMONIALES,Concessions administratives-col.legi Sagrada Samilia,6.11,0,6.11,0
2018.0.0.0.0.55100,,,55100,INGRESOS PATRIMONIALES,Cessió de Ninxols,32200.02,0,32200.02,19759
2018.0.0.0.0.72100,,,72100,TRANSFERENCIAS DE CAPITAL,Del Servicio Público de Empleo Estatal,19382.62,0,19382.62,0
2018.0.0.0.0.76100,,,76100,TRANSFERENCIAS DE CAPITAL,Subvencions Diputació,176957.83,204292.25,381250.08,163427.77
2018.0.0.0.0.87010,,,87010,ACTIVOS FINANCIEROS,Para gastos con financiación afectada,0,1492848.95,1492848.95,0
,,,,,,13035690.3,3317084.18,16352774.48,12459388.24
