#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2012.0.0.0112.0.310,0112,310,Entitats Financeres,Interessos prèstecs,,,410038.83,4681.89,414720.72,414720.72
2012.0.0.0112.0.913,0112,913,Entitats Financeres,Amortitzacio prèstecs,,,1089686.15,-4681.89,1085004.26,1085004.26
2012.0.0.1320.0.120,1320,120,Seguretat i orgre públic,Retribucions bàsiques,,,430781.84,4799.89,435581.73,407365.19
2012.0.0.1320.0.121,1320,121,Seguretat i orgre públic,Retribucions complementar,,,744380.55,-983.76,743396.79,682111.64
2012.0.0.1320.0.150,1320,150,Seguretat i orgre públic,Complement Productivitat,,,35000.0,21014.35,56014.35,66206.59
2012.0.0.1320.0.151,1320,151,Seguretat i orgre públic,Gratificacions,,,,,,3720.31
2012.0.0.1320.0.160,1320,160,Seguretat i orgre públic,Quotes socials,,,375150.34,658.36,375808.7,373436.13
2012.0.0.1320.0.204,1320,204,Seguretat i orgre públic,Arrendament vehicles,,,43836.76,,43836.76,43923.16
2012.0.0.1320.0.213,1320,213,Seguretat i orgre públic,Rep.mment i cons.Maquinar,,,600.0,,600.0,940.92
2012.0.0.1320.0.214,1320,214,Seguretat i orgre públic,Rep.mment i cons. vehicle,,,1530.0,,1530.0,395.77
2012.0.0.1320.0.221,1320,221,Seguretat i orgre públic,Subministres,,,18000.0,2339.72,20339.72,21045.99
2012.0.0.1330.0.219,1330,219,Control del trànsit,Rep.mment cons.altre Immo,,,10000.0,,10000.0,3516.68
2012.0.0.1330.0.221,1330,221,Control del trànsit,Subministres,,,5000.0,,5000.0,3398.06
2012.0.0.1331.0.202,1331,202,Recollida de vehicles,Arrendament edifici,,,3105.0,,3105.0,3000.0
2012.0.0.1331.0.227,1331,227,Recollida de vehicles,Treb.real.altres empreses,,,50000.0,,50000.0,39254.04
2012.0.0.1510.0.120,1510,120,Urbanisme,Retribucions bàsiques,,,86479.14,27629.32,114108.46,72752.27
2012.0.0.1510.0.121,1510,121,Urbanisme,Retribucions complementar,,,116896.36,-43147.15,73749.21,90822.75
2012.0.0.1510.0.160,1510,160,Urbanisme,Quotes socials,,,63046.41,-11072.56,51973.85,51973.85
2012.0.0.1510.0.226,1510,226,Urbanisme,Despeses diverses,,,3000.0,-4034.36,-1034.36,422.01
2012.0.0.1510.0.227,1510,227,Urbanisme,Treb.real.altres empreses,,,1500.0,,1500.0,
2012.0.0.1550.0.120,1550,120,Vies Públiques,Retribucions bàsiques,,,9822.0,,9822.0,
2012.0.0.1550.0.121,1550,121,Vies Públiques,Retribucions complementar,,,10825.08,,10825.08,
2012.0.0.1550.0.130,1550,130,Vies Públiques,Personal laboral fix,,,,,,19177.25
2012.0.0.1550.0.160,1550,160,Vies Públiques,Quotes socials,,,6400.59,1183.05,7583.64,7583.64
2012.0.0.1550.0.210,1550,210,Vies Públiques,Rep mment.conser.Infrastr,,,1000.0,,1000.0,2352.06
2012.0.0.1550.0.213,1550,213,Vies Públiques,Rep.mment i cons.Maquinar,,,10000.0,,10000.0,7554.75
2012.0.0.1550.0.214,1550,214,Vies Públiques,Rep.mment i cons. vehicle,,,3000.0,,3000.0,3757.7
