#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2013.0.0.0112.0.310,0112,310,Entitats Financeres,Interessos prèstecs,,,410038.83,,410038.83,410038.83
2013.0.0.0112.0.913,0112,913,Entitats Financeres,Amortitzacio prèstecs,,,1089686.15,,1089686.15,1089686.15
2013.0.0.1320.0.120,1320,120,Seguretat i orgre públic,Retribucions bàsiques,,,430781.84,-5175.24,425606.6,422621.25
2013.0.0.1320.0.121,1320,121,Seguretat i orgre públic,Retribucions complementar,,,744380.55,-5047.41,739333.14,729186.62
2013.0.0.1320.0.150,1320,150,Seguretat i orgre públic,Complement Productivitat,,,35000.0,11037.74,46037.74,63742.69
2013.0.0.1320.0.160,1320,160,Seguretat i orgre públic,Quotes socials,,,375150.34,20535.52,395685.86,366547.91
2013.0.0.1320.0.204,1320,204,Seguretat i orgre públic,Arrendament vehicles,,,43836.76,2757.6,46594.36,48000.79
2013.0.0.1320.0.213,1320,213,Seguretat i orgre públic,Rep.mment i cons.Maquinar,,,600.0,128.1,728.1,1481.07
2013.0.0.1320.0.214,1320,214,Seguretat i orgre públic,Rep.mment i cons. vehicle,,,1530.0,,1530.0,677.72
2013.0.0.1320.0.221,1320,221,Seguretat i orgre públic,Subministres,,,18000.0,5047.41,23047.41,21672.39
2013.1.0.1320.1001.632,1320,632,Seguretat i orgre públic,Inv. repos.Edificis i con,1001,REHAB. CASSETES AGROCROS,,4008.4,4008.4,
2013.0.0.1330.0.219,1330,219,Control del trànsit,Rep.mment cons.altre Immo,,,10000.0,3226.38,13226.38,6977.42
2013.0.0.1330.0.221,1330,221,Control del trànsit,Subministres,,,5000.0,1325.29,6325.29,12571.32
2013.0.0.1331.0.202,1331,202,Recollida de vehicles,Arrendament edifici,,,3105.0,,3105.0,5610.49
2013.0.0.1331.0.227,1331,227,Recollida de vehicles,Treb.real.altres empreses,,,50000.0,-10000.0,40000.0,24599.65
2013.0.0.1510.0.120,1510,120,Urbanisme,Retribucions bàsiques,,,86479.14,-5774.07,80705.07,74197.61
2013.0.0.1510.0.121,1510,121,Urbanisme,Retribucions complementar,,,116896.36,-10683.27,106213.09,102014.58
2013.0.0.1510.0.160,1510,160,Urbanisme,Quotes socials,,,63046.41,-5000.0,58046.41,52134.86
2013.0.0.1510.0.226,1510,226,Urbanisme,Despeses diverses,,,3000.0,,3000.0,80.0
2013.0.0.1510.0.227,1510,227,Urbanisme,Treb.real.altres empreses,,,1500.0,,1500.0,
2013.0.0.1522.1302.227,1522,227,Pla especial rehabilitaci,Treb.real.altres empreses,1302,rehabilitacio Burriana12,,8763.65,8763.65,3433.06
2013.0.0.1550.0.120,1550,120,Vies Públiques,Retribucions bàsiques,,,9822.0,,9822.0,
2013.0.0.1550.0.121,1550,121,Vies Públiques,Retribucions complementar,,,10825.08,,10825.08,
2013.0.0.1550.0.130,1550,130,Vies Públiques,Personal laboral fix,,,,,,20647.06
2013.0.0.1550.0.160,1550,160,Vies Públiques,Quotes socials,,,6400.59,1263.94,7664.53,7583.64
2013.0.0.1550.0.210,1550,210,Vies Públiques,Rep mment.conser.Infrastr,,,1000.0,,1000.0,5967.55
2013.0.0.1550.0.213,1550,213,Vies Públiques,Rep.mment i cons.Maquinar,,,10000.0,5573.31,15573.31,11326.4
2013.0.0.1550.0.214,1550,214,Vies Públiques,Rep.mment i cons. vehicle,,,3000.0,1190.86,4190.86,3349.7
2013.1.0.1550.005.602,1550,602,Vies Públiques,Inversio nova en infraest,005,Urbanit. Espioca [pluvial,,25519.68,25519.68,
2013.1.0.1550.0238.603,1550,603,Vies Públiques,Inversio nova en infraest,0238,Molí Magallo,,93156.88,93156.88,
2013.1.0.1550.0630.606,1550,606,Vies Públiques,Inversió nova en Infraest,0630,U.E. Maset,,2782.36,2782.36,
2013.1.0.1550.0415.608,1550,608,Vies Públiques,Altres inversions noves,0415,Urbanitzacio Pla Bega,,133148.91,133148.91,7969.79
2013.0.0.1550.1301.611,1550,611,Vies Públiques,Inversio reposicio infrae,1301,Pluges/2012/26,,1615.35,1615.35,1615.35
2013.0.0.1550.1310.611,1550,611,Vies Públiques,Inversio reposicio infrae,1310,Reparac carrers PPOS13,,13097.79,13097.79,10646.22
2013.1.0.1550.1005.611,1550,611,Vies Públiques,Inversio reposicio infrae,1005,MOBILIARI URBA I SENYALS,,7566.52,7566.52,
2013.1.0.1550.0006.612,1550,612,Vies Públiques,Inv. rep infrastructures,0006,Urb. Av. Xuquer [pluvials,,24582.75,24582.75,
2013.1.0.1550.0917.623,1550,623,Vies Públiques,Inv. nova maquinar. intst,0917,ADQUISICIO MATERIAL OBRES,,288.92,288.92,
2013.1.0.1550.0.770,1550,770,Vies Públiques,A Empresses Pivades,,,,11680.91,11680.91,
2013.0.0.1551.0.120,1551,120,Obres,Retribucions bàsiques,,,60390.84,-10000.0,50390.84,28758.97
2013.0.0.1551.0.121,1551,121,Obres,Retribucions complementar,,,67697.88,-25997.33,41700.55,38688.2
2013.0.0.1551.0.130,1551,130,Obres,Personal laboral fix,,,,,,19705.24
2013.0.0.1551.0.131,1551,131,Obres,Personal Laboral eventual,,,19453.92,,19453.92,19704.16
2013.0.0.1551.0.160,1551,160,Obres,Quotes socials,,,46127.29,,46127.29,30860.94
2013.0.0.1551.0.204,1551,204,Obres,Arrendament vehicles,,,17453.16,-1830.0,15623.16,8302.23
2013.0.0.1551.0.221,1551,221,Obres,Subministres,,,15300.0,,15300.0,13793.96
